Climate change,Score
They have their heads up their ass.,0.93
How can you be so stupid?,0.91
They are liberal idiots who are uneducated.,0.90
"They're stupid, it's getting warmer, we should enjoy it while it lasts.",0.86
Climate change is happening and it's not changing in our favor. If you think differently you're an idiot.,0.84
I think those people are stupid and short-sighted,0.84
"They're allowed to do that. But if they act like assholes about, I will block them.",0.78
uneducated bumpkins or willfully ignorant with vested interests,0.63
I think its a farce and stinks like a bathroom after 26 beers,0.63
Fools,0.62
My thoughts are that people should stop being stupid and ignorant. Climate change is scientifically proven. It isn't a debate.,0.59
They are uninformed or ignorant,0.56
You either trust in God or think you are smarter than him.,0.42
"Their opinion, just don't force it down my throat",0.41
Over-hyped nonsense.,0.36
I respect them but I believe they think I am stupid and only thinking short-term. I believe we don't know what will happen long-term regardless of supporting regulation regarding climate change. Regulation impedes industry and job creation.,0.33
"It's real, scary, obvious. Humans need to focus and stop destroying habitats, stop developing erosion because they want to live on a mountain/hill, stop disposing of trash in ways unsafe for the environment. Stop the greed, honor other forms of life.",0.28
I don't care. They are usually democrats.,0.28
The climate is always changing. I think the modern concept of climate change is ridiculous. The world when end when God deems it.,0.26
Crooked science. There is no consensus.,0.25
"It's OK to have a different opinion, however, ignoring factual scientific data is not. People who deny such data are being foolish.",0.25
They are ill informed or misinformed. Or...UNINFORMED.,0.20
They are intolerant so I try to avoid the subject I don't want to get screamed at,0.20
"Poorly educated, ultimately not their fault. I blame the American educational system",0.18
"They are blatantly ignoring a fact that 98% of scientists agree are real. It is okay to have your own opinion about how we should deal with climate change, but no action at all is selfish because we are destroying the world for future generations.",0.16
"I think there is a man-made component to climate change, but am afraid the government remedies are potentially far-worse than the disease.",0.10
Doesn't bother me at all. They can believe what they want.,0.09
If we have data to back it up then its definitely going to hurt us if we don't change our ways!,0.07
They need to do more research before they jump to any conclusions,0.06
"I listen to their opinions, but do not understand how they can disagree with irrefutable, scientific facts.",0.06
I think it's a divisive topic. The degree to which we can fix any change is debatable as well as how much is natural vs. man made.,0.03
Climate change is occurring but humans have little impact if any for its cause.,0.02
"I believe that we are contributing to an already existing 'condition' that occurs, naturally, over the millennium.",0.02
I think the earth goes through cycles and we're in a warmer cycle,0.02
I think that there is not much that we can do and that we play a very small role in the overall changing of our planets climate,0.02
"I think it exists. But, I am not big on regulations regarding climate change. The EPA regulates way too much.",0.02
"Clearly man made, but unsure of its extent and whether anything substantial can be done about it",0.01
"I think that climate change is real and has happened for millions of years. Whether or not humans are altering it is another matter entirely, but I strongly suspect that we are.",0.01
Haven't seen unbiased data,0.01
"I do not have a good understanding of climate change to have any serious thoughts, however, I try to minimize my own carbon footprint in hopes to help this earth even if it is slight.",0.01
It's a natural phenomenon.,0.01
"Our government needs to do everything it can to combat the causes and effects of climate change. In addition, it is our responsibility as citizens of the world to reduce our use of resources and preserve our environment.",0.01
Climate changes naturally.,0.01
I recognize there is changes in our climate and feel that we need to do what we can to prevent any further decline. I try to do all that is in my power to change my effect on the climate change. I support what I can to encourage companies to change their effects on our environment.,0.01
Everyone can form opinions as they wish. I wish we all received the same information.,0.01
"Climate change is real and happening...I think humans have definitely helped it happen faster, but I do believe it would have started to make a change in some way.",0.01
"Climate change is real. The reasons for certain phenomena are not well understood. There is plenty of research yet to be done, and a great deal more to be understood.",0.01
We're in a 500+ year trend,0.01
"It's the best it makes me warm when it should be cold. Thanks, global warming.",0.01
